      age  Medu  Fedu  traveltime  studytime  failures  famrel  freetime  goout  Dalc  Walc  health  absences  G1  G2  G3  school_MS  sex_M  address_U  famsize_LE3  Pstatus_T  Mjob_health  Mjob_other  Mjob_services  Mjob_teacher  Fjob_health  Fjob_other  Fjob_services  Fjob_teacher  reason_home  reason_other  reason_reputation  guardian_mother  guardian_other  schoolsup_yes  famsup_yes  paid_yes  activities_yes  nursery_yes  higher_yes  internet_yes  romantic_yes
27   15.0     4     2           1          1         0       2         2      4     2     4       1         4  15  16  15      False   True       True        False       True         True       False          False         False        False       False           True         False        False          True              False             True           False          False       False      True           False         True        True          True         False
28   16.0     3     4           1          2         0       5         3      3     1     1       5         4  11  11  11      False   True       True         True      False        False       False           True         False        False        True          False         False         True         False              False             True           False           True        True     False            True         True        True          True         False
29   16.0     4     4           1          2         0       4         4      5     5     5       5        16  10  12  11      False   True       True        False       True        False       False          False          True        False       False          False          True         True         False              False             True           False          False        True      True            True         True        True          True          True
30   15.0     4     4           1          2         0       5         4      2     3     4       5         0   9  11  12      False   True       True        False       True         True       False          False         False        False       False           True         False         True         False              False             True           False          False        True      True           False        False        True          True         False
31   15.0     4     4           2          2         0       4         3      1     1     1       5         0  17  16  17      False   True       True        False       True        False       False           True         False        False       False           True         False        False         False               True             True           False          False        True     False            True         True        True          True         False
32   15.0     4     3           1          2         0       4         5      2     1     1       5         0  17  16  16      False   True      False        False       True        False       False          False          True        False       False          False         False        False         False              False             True           False          False        True     False            True         True        True          True          True
33   15.0     3     3           1          2         0       5         3      2     1     1       2         0   8  10  12      False   True       True         True       True        False        True          False         False        False        True          False         False        False         False              False             True           False          False       False     False            True        False        True          True         False
34   16.0     3     2           1          1         0       5         4      3     1     1       5         0  12  14  15      False   True       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False        True      True           False        False        True          True         False
35   15.0     2     3           2          1         0       3         5      1     1     1       5         0   8   7   6      False  False       True        False       True        False        True          False         False        False        True          False         False        False          True              False            False           False          False        True     False            True         True        True         False         False
36   15.0     4     3           1          3         0       5         4      3     1     1       4         2  15  16  18      False   True       True         True       True        False       False          False          True        False       False           True         False         True         False              False             True           False          False        True     False            True         True        True          True         False
37   16.0     4     4           2          3         0       2         4      3     1     1       5         7  15  16  15      False   True      False        False      False        False        True          False         False        False       False          False          True        False         False               True             True           False          False        True     False            True         True        True          True          True
38   15.0     3     4           1          3         0       4         3      2     1     1       5         2  12  12  11      False  False      False        False       True        False       False           True         False         True       False          False         False        False         False              False             True           False           True        True      True            True         True        True          True         False
39   15.0     2     2           1          1         0       4         3      1     1     1       2         8  14  13  13      False  False      False        False       True        False       False          False         False        False        True          False         False        False         False               True             True           False           True        True      True            True         True        True         False         False
40   16.0     2     2           2          2         1       3         3      3     1     2       3        25   7  10  11      False  False       True         True       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False        True     False            True        False        True          True          True
41   15.0     4     4           1          1         0       5         4      3     2     4       5         8  12  12  12      False   True       True         True       True        False       False          False          True        False        True          False         False         True         False              False            False            True          False        True     False           False        False        True          True          True
42   15.0     4     4           1          2         0       4         3      3     1     1       5         2  19  18  18      False   True       True        False       True        False       False           True         False        False       False          False          True        False         False              False            False           False          False        True     False            True         True        True          True         False
43   15.0     2     2           1          1         0       5         4      1     1     1       1         0   8   8  11      False   True       True        False       True        False       False           True         False        False       False           True         False        False         False              False            False           False           True        True     False           False         True        True          True         False
44   16.0     2     2           2          2         1       4         3      3     2     2       5        14  10  10   9      False  False       True         True       True        False        True          False         False        False       False          False         False        False         False              False            False           False           True       False     False            True         True        True          True         False
45   15.0     4     3           1          2         0       5         2      2     1     1       5         8   8   8   6      False  False       True         True      False        False        True          False         False        False        True          False         False        False         False              False             True           False           True        True      True            True         True        True          True          True
46   16.0     3     3           1          2         0       2         3      5     1     4       3        12  11  12  11      False  False       True         True      False        False        True          False         False        False       False           True         False         True         False              False             True           False          False        True     False           False         True        True          True         False
47   16.0     4     3           1          4         0       4         2      2     1     1       2         4  19  19  20      False   True       True        False       True         True       False          False         False        False       False           True         False        False         False               True             True           False          False       False     False            True         True        True          True         False
48   15.0     4     2           1          2         0       4         3      3     2     2       5         2  15  15  14      False   True       True        False       True        False       False          False          True        False        True          False         False         True         False              False             True           False          False        True      True           False         True        True         False         False
49   15.0     4     4           1          2         1       4         4      4     1     1       3         2   7   7   7      False  False       True        False       True        False       False           True         False        False       False          False          True        False          True              False            False           False           True        True     False            True        False        True          True         False
50   16.0     2     2           3          2         0       4         3      3     2     3       4         2  12  13  13      False  False       True         True       True        False       False           True         False        False       False           True         False        False         False              False             True           False          False        True      True           False         True        True          True         False
51   15.0     4     2           1          2         0       4         3      3     1     1       5         2  11  13  13      False  False       True         True       True         True       False          False         False        False        True          False         False        False          True              False             True           False          False        True      True           False         True        True          True         False
52   15.0     4     2           2          1         1       5         5      5     3     4       5         6  11  11  10      False   True       True         True      False         True       False          False         False         True       False          False         False        False          True              False            False           False          False       False     False           False         True        True         False         False
53   15.0     4     4           1          1         0       3         3      4     2     3       5         0   8  10  11      False  False       True        False       True        False       False           True         False        False       False           True         False        False         False              False             True           False           True        True      True           False         True        True          True         False
54   15.0     3     3           1          1         0       5         3      4     4     4       1         6  10  13  13      False  False       True         True      False        False        True          False         False        False        True          False         False        False          True              False             True           False          False       False      True           False         True        True          True         False
55   16.0     2     1           1          2         0       5         3      4     1     1       2         8   8   9  10      False  False       True        False      False        False        True          False         False        False        True          False         False        False          True              False             True           False          False       False      True            True         True        True          True          True
56   15.0     4     3           1          2         0       4         3      2     1     1       1         0  14  15  15      False  False       True        False      False        False       False           True         False        False       False           True         False        False         False               True             True           False          False        True      True            True         True        True          True         False
57   15.0     4     4           1          2         0       3         2      2     1     1       5         4  14  15  15      False   True       True        False       True        False       False          False          True         True       False          False         False        False         False               True             True           False          False        True     False            True         True        True         False         False
58   15.0     1     2           1          2         0       4         3      2     1     1       5         2   9  10   9      False   True       True         True       True        False        True          False         False        False       False          False         False         True         False              False            False           False           True        True     False            True         True        True          True         False
59   16.0     4     2           1          2         0       4         2      3     1     1       5         2  15  16  16      False  False       True        False       True        False       False           True         False        False        True          False         False        False         False              False             True           False          False        True     False           False         True        True          True         False
60   16.0     4     4           1          2         0       2         4      4     2     3       4         6  10  11  11      False  False      False        False       True         True       False          False         False        False       False          False          True        False          True              False             True           False          False        True     False            True         True        True         False         False
61   16.0     1     1           4          1         0       5         5      5     5     5       5         6  10   8  11      False  False       True        False       True        False       False           True         False        False       False           True         False        False         False              False            False           False           True        True     False            True        False        True          True          True
62   16.0     1     2           1          2         0       4         4      3     1     1       1         4   8  10   9      False  False       True         True       True        False        True          False         False        False       False           True         False        False         False               True            False           False           True       False     False            True         True        True          True         False
63   16.0     4     3           1          3         0       3         4      4     2     4       4         2  10   9   9      False  False       True        False       True        False       False          False          True         True       False          False         False         True         False              False             True           False           True        True      True            True         True        True          True         False
64   15.0     4     3           1          2         0       4         4      4     2     4       2         0  10  10  10      False  False       True         True       True        False       False           True         False        False       False           True         False        False         False               True            False           False           True       False     False            True         True        True          True          True
65   16.0     4     3           3          2         0       5         4      3     1     2       1         2  16  15  15      False  False       True         True       True        False       False          False          True        False       False           True         False        False         False              False             True           False          False        True     False            True         True        True          True         False
66   15.0     4     4           1          4         0       1         3      3     5     5       3         4  13  13  12      False   True       True        False      False        False        True          False         False        False       False           True         False        False         False               True             True           False          False        True     False            True        False        True          True          True
67   16.0     3     1           1          4         0       4         3      3     1     2       5         4   7   7   6      False  False       True        False       True        False       False           True         False        False        True          False         False        False         False              False             True           False           True        True      True           False         True        True          True         False
68   15.0     2     2           2          2         0       4         1      3     1     3       4         2   8   9   8      False  False      False         True       True         True       False          False         False        False       False           True         False        False         False               True             True           False           True        True      True           False         True        True          True         False
69   15.0     3     1           2          4         0       4         4      2     2     3       3        12  16  16  16      False  False      False         True       True        False        True          False         False        False        True          False         False        False         False               True            False           False          False        True     False           False        False        True          True         False
70   16.0     3     1           2          4         0       4         3      2     1     1       5         0  13  15  15      False   True       True        False       True        False        True          False         False        False        True          False         False        False         False               True            False           False          False        True      True           False         True        True          True         False
71   15.0     4     2           1          4         0       3         3      3     1     1       3         0  10  10  10      False   True       True        False       True        False        True          False         False        False        True          False         False        False         False              False             True           False          False       False     False           False         True        True          True         False
72   15.0     1     1           1          2         2       3         3      4     2     4       5         2   8   6   5      False  False      False        False       True        False        True          False         False        False        True          False         False        False         False               True             True           False           True        True     False           False        False        True          True          True
73   16.0     3     1           1          1         0       5         3      2     2     2       5         2  12  12  14      False   True       True        False       True        False        True          False         False        False        True          False         False        False         False               True             True           False          False       False     False            True         True        True         False         False
74   16.0     3     3           1          2         0       4         3      3     2     4       5        54  11  12  11      False  False       True        False       True        False        True          False         False        False       False           True         False         True         False              False             True           False           True        True      True            True         True        True          True         False
75   15.0     4     3           1          2         0       4         3      3     2     3       5         6   9   9  10      False   True       True        False       True        False       False          False          True        False        True          False         False         True         False              False             True           False          False        True      True            True         True        True          True         False
76   15.0     4     0           2          4         0       3         4      3     1     1       1         8  11  11  10      False   True       True        False       True        False       False          False          True        False        True          False         False        False         False              False             True           False          False       False     False            True         True        True          True         False
77   16.0     2     2           1          4         0       5         2      3     1     3       3         0  11  11  11      False  False       True        False       True        False        True          False         False        False        True          False         False        False         False               True             True           False          False       False      True           False         True        True          True          True
78   17.0     2     1           2          1         3       4         5      1     1     1       3         2   8   8  10      False   True       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False           True        True     False            True         True       False          True         False
79   16.0     3     4           1          2         0       2         4      3     1     2       3        12   5   5   5      False  False       True        False       True        False       False          False         False        False        True          False         False        False         False              False             True           False          False        True     False           False         True        True          True         False
80   15.0     2     3           1          1         0       3         2      2     1     3       3         2  10  12  12      False   True       True        False       True        False        True          False         False        False       False           True         False        False         False              False            False           False           True        True      True            True        False        True          True          True
81   15.0     2     3           1          3         0       5         3      2     1     2       5         4  11  10  11      False   True       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False           True       False      True           False        False        True          True         False
82   15.0     3     2           1          2         0       4         4      4     1     1       5        10   7   6   6      False  False       True         True       True        False       False           True         False        False        True          False         False        False         False               True             True           False          False        True      True           False         True        True          True         False
83   15.0     2     2           2          2         0       5         3      3     1     3       4         4  15  15  15      False   True       True         True       True        False       False           True         False        False       False           True         False         True         False              False             True           False          False       False      True            True         True        True          True         False
84   15.0     1     1           1          2         0       4         3      2     2     3       4         2   9  10  10      False  False       True        False       True        False        True          False         False        False        True          False         False         True         False              False            False           False          False        True     False            True        False        True          True         False
85   15.0     4     4           2          2         2       4         4      4     2     3       5         6   7   9   8      False  False       True        False       True        False       False           True         False        False       False           True         False        False         False               True            False           False          False       False      True           False         True        True          True          True
86   16.0     2     2           1          2         0       4         3      4     1     2       2         4   8   7   6      False  False       True         True       True        False       False          False         False        False        True          False         False        False         False              False             True           False          False        True     False           False         True        True         False         False
87   15.0     4     2           1          3         0       5         3      3     1     3       1         4  13  14  14      False  False       True        False       True        False        True          False         False        False        True          False         False        False         False               True             True           False          False        True     False            True         True        True          True         False
88   16.0     2     2           2          2         1       4         4      2     1     1       3        12  11  10  10      False   True       True        False       True        False       False           True         False        False        True          False         False        False         False               True            False           False          False       False      True            True        False        True          True         False
89   16.0     4     4           1          2         0       4         1      3     3     5       5        18   8   6   7      False   True       True         True      False        False       False          False          True         True       False          False         False        False         False               True             True           False          False        True     False           False         True        True         False         False
90   16.0     3     3           1          3         0       4         3      3     1     3       4         0   7   7   8      False  False       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False        True      True           False         True        True          True          True
91   15.0     4     3           1          1         0       4         5      5     1     3       1         4  16  17  18      False  False       True        False       True        False       False           True         False        False        True          False         False        False         False               True             True           False          False       False      True            True         True        True          True         False
92   16.0     3     1           1          2         0       3         3      3     2     3       2         4   7   6   6      False  False       True         True       True        False        True          False         False        False        True          False         False         True         False              False            False           False           True        True     False           False         True        True         False         False
93   16.0     4     2           2          2         0       5         3      3     1     1       1         0  11  10  10      False  False       True        False       True        False       False          False          True        False       False           True         False         True         False              False             True           False          False        True      True            True         True        True          True         False
94   15.0     2     2           1          4         0       4         3      4     1     1       4         6  11  13  14      False   True       True         True       True        False       False           True         False         True       False          False         False        False         False               True             True           False          False        True     False            True         True        True          True         False
95   15.0     1     1           2          4         1       3         1      2     1     1       1         2   7  10  10      False  False      False        False       True        False       False          False         False        False        True          False         False         True         False              False             True           False           True        True      True            True         True        True          True         False
